phrase,nlp,emotion,prediction
Nos pensées sont avec toi en ces jours difficiles,"['pense', 'jour', 'difficil']",sadness,sadness
Je vous souhaite bon courage,"['souhait', 'bon', 'courag']",sadness,surprise
C'est avec une grande émotion que j'ai appris cette très triste nouvelle,"['grand', 'emot', 'appris', 'cet', 'tre', 'trist', 'nouvel']",sadness,fear
Ce stack est vraiment savoureux,"['stack', 'vrai', 'savour']",joy,joy
"La rue est vraiment incertaine, mieux vaut faire attention","['ru', 'vrai', 'incertain', 'mieux', 'vaut', 'fair', 'attent']",fear,fear
Quel secret ! Comment le deviner ?,"['quel', 'secret', 'comment', 'devin']",surprise,surprise
"C'est arrivé si vite, quelle surprise !","['arriv', 'si', 'vit', 'quel', 'surpris']",surprise,surprise
Mais non ? Comment cela ?,"['non', 'comment', 'cel']",surprise,sadness
imagine ca il y a dix ans,"['imagin', 'ca', 'a', 'dix', 'an']",surprise,no_emotion
Un documentaire glaçant,"['documentair', 'glac']",fear,sadness
"Selon lui, les journalistes sont tous pourris","['selon', 'le', 'journal', 'tous', 'pourr']",digust,sadness
"la tête, ça va pas","['tet', 'ca', 'va', 'pas']",disgust,fear
Quel pays ! ,"['quel', 'pay']",surprise,joy
"On veut qu'il dégage, tout simplement","['veut', 'degag', 'tout', 'simpl']",anger,no_emotion
Les élections en Algérie sont une mascarade,"['le', 'elect', 'alger', 'mascarad']",disgust,surprise
"Chaque fois que je rentre chez moi, j'ai vraiment peur que quelque chose m'arrive","['chaqu', 'fois', 'rentr', 'chez', 'vrai', 'peur', 'quelqu', 'chos', 'arriv']",fear,surprise
Et pourquoi pas ?,"['pourquoi', 'pas']",surprise,fear
Pourquoi a t il abandonné son chien ?,"['pourquoi', 'a', 'abandon', 'chien']",sadness,fear
elle était euphorique,"['etait', 'euphor']",joy,no_emotion
Salut Fidel ! Dit-elle à l'animal qui lui léchait les mains,"['salut', 'fidel', 'dit', 'a', 'animal', 'lech', 'le', 'main']",joy,surprise
Il est dépité,['depit'],sadness,no_emotion
Personne ne mérite de perdre sa femme,"['person', 'ne', 'merit', 'perdr', 'femm']",sadness,surprise
Reculez non de Dieu ! ,"['recul', 'non', 'dieu']",anger,surprise
C'est le quatrième depuis mardi putain !,"['quatriem', 'depuis', 'mard', 'putain']",anger,disgust
Comment voulez vous qu'on s'en sorte si vous détruisez tout? ,"['comment', 'voul', 'sort', 'si', 'detruis', 'tout']",anger,surprise
Mais qu'est ce que tu fous ?,['fous'],anger,no_emotion
"Popper poussa ses hommes vers l'arrière, ils allaient bientôt tirer","['popp', 'pouss', 'homm', 'ver', 'arrier', 'il', 'allaient', 'bientot', 'tir']",fear,surprise
Le prêtre était hébété au milieu du chaos,"['pretr', 'etait', 'hebet', 'milieu', 'chaos']",fear,surprise
Ses hommes étaient mort de trouille,"['homm', 'etaient', 'mort', 'trouill']",fear,sadness
"Le jet de gaz aspergea les civils, aui se dispersèrent en les couvrant d'insultes","['jet', 'gaz', 'asperg', 'le', 'civil', 'aui', 'disperserent', 'le', 'couvr', 'insult']",anger,disgust
"Elle ne filmait pas la scène d'émeutes mais le cadavre d'Enrique, en gros plan…","['ne', 'film', 'pas', 'scen', 'emeut', 'cadavr', 'enriqu', 'gros', 'plan']",sadness,anger
Il ne s'y attendait pas du tout,"['ne', 'attend', 'pas', 'tout']",surprise,fear
"Vous êtes répugnants, allez vous changer ! ","['ete', 'repugn', 'allez', 'chang']",disgust,fear
L'ambiance était au rendez vous,"['ambianc', 'etait', 'rend']",joy,no_emotion
Les hélicoptères de la police vrombissaient dans le ciel,"['le', 'helicopter', 'polic', 'vromb', 'ciel']",fear,surprise
Gabriela appréhendait le moment ou ils allaient se revoir,"['gabriel', 'apprehend', 'moment', 'il', 'allaient', 'revoir']",fear,anger
Ils devaient emprunter énormément et sans garantie,"['il', 'dev', 'emprunt', 'enorm', 'san', 'garant']",fear,sadness
"Malgré les risques et les menaces, elle avait tout filmé","['malgr', 'le', 'risqu', 'le', 'menac', 'tout', 'film']",fear,fear
Elle fuyait parmi les cris et les menaces,"['fui', 'parm', 'le', 'cris', 'le', 'menac']",fear,surprise
Elles étaient deux réfugiées trempées des pieds à la tête quand la guerre hurlait dehors,"['elle', 'etaient', 'deux', 'refugie', 'trempe', 'pied', 'a', 'tet', 'quand', 'guerr', 'hurl', 'dehor']",fear,anger
Chaque seconde en paraissait mille jusqu'à ce qu'enfin le danger s'éloigne,"['chaqu', 'second', 'paraiss', 'mill', 'jusqu', 'a', 'enfin', 'dang', 'eloign']",fear,surprise
"putain je passe encore 2h sur une connerie bordel, j'arrive pas à pull ça me gave","['putain', 'pass', 'encor', '2h', 'conner', 'bordel', 'arriv', 'pas', 'a', 'pull', 'ca', 'gav']",anger,joy
Non mais c'est pas possible d'être aussi nul !,"['non', 'pas', 'possibl', 'etre', 'auss', 'nul']",anger,fear
Benoit Hamon veut créer la surprise aux européennes,"['benoit', 'hamon', 'veut', 'cre', 'surpris', 'europeen']",surprise,surprise
Soirée en solo avant weekend surprise ! J'ai hâte !,"['soire', 'solo', 'avant', 'weekend', 'surpris', 'hat']",surprise,surprise
"Je vais bientôt vous faire une annonce, soyez prêts !","['vais', 'bientot', 'fair', 'annonc', 'pret']",surprise,no_emotion
"On ne sait pas vraiment quoi attendre de lui, on verra bien ","['ne', 'sait', 'pas', 'vrai', 'quoi', 'attendr', 'verr', 'bien']",surprise,surprise
Je vais leur rendre visite ils ne s'y attendent pas du tout,"['vais', 'rendr', 'visit', 'il', 'ne', 'attendent', 'pas', 'tout']",surprise,anger
C'était vraiment quelque chose d'innatendu,"['etait', 'vrai', 'quelqu', 'chos', 'innatendu']",surprise,anger
"On a plein de cadeaux pour vous, vous allez voir","['a', 'plein', 'cadeau', 'allez', 'voir']",surprise,surprise
"Nouvelle édition, venez découvrir ce qu'il se cache dedans","['nouvel', 'edit', 'ven', 'decouvr', 'cach', 'dedan']",surprise,fear
Ils s'apprênt à présenter un tout nouveau projet surprise,"['il', 'apprent', 'a', 'present', 'tout', 'nouveau', 'projet', 'surpris']",surprise,surprise
Vous n'allez jamais deviner qui j'ai vu hier,"['n', 'allez', 'jam', 'devin', 'vu', 'hi']",surprise,surprise
"C'est un mystère, on ne sait pas du tout qui a fait ça","['myster', 'ne', 'sait', 'pas', 'tout', 'a', 'fait', 'ca']",surprise,surprise
On vous réserve quelques surprise demain,"['reserv', 'quelqu', 'surpris', 'demain']",surprise,surprise
"Cette absolument innaceptable, quelle horreur !","['cet', 'absolu', 'innacept', 'quel', 'horreur']",disgust,disgust
"La viande était périmée, elle commançait à moisir","['viand', 'etait', 'perime', 'commanc', 'a', 'mois']",disgust,disgust
Le meurte de Lady Macduff était une abomination,"['meurt', 'lady', 'macduff', 'etait', 'abomin']",disgust,disgust
Il y avait même des rats ,"['mem', 'rat']",disgust,sadness
"On ne peut pas laisser ça comme ça, c'est répugnant","['ne', 'peut', 'pas', 'laiss', 'ca', 'comm', 'ca', 'repugn']",disgust,fear
Vous devriez avoir honte de vous,"['devr', 'avoir', 'hont']",disgust,sadness
"Les politiques sont incapables de diriger notre pays et sont corrompus, ça me dégoute ","['le', 'polit', 'incap', 'dirig', 'pay', 'corrompus', 'ca', 'degout']",disgust,disgust
T'as vu cette photo ? Quelle horreur !,"['vu', 'cet', 'photo', 'quel', 'horreur']",disgust,surprise
Le racisisme et l'antisémitisme refont surface c'est affolant,"['racis', 'antisemit', 'refont', 'surfac', 'affol']",disgust,fear
Allez la voir elle serait ravi de vous revoir tous ensemble !,"['allez', 'voir', 'rav', 'revoir', 'tous', 'ensembl']",joy,joy
Elle était aux anges,"['etait', 'ange']",joy,surprise
"Je ne sais pas ce qui lui passe par la tête en ce moment, je crois qu'elle ne va pas très bien malheureusement","['ne', 'sais', 'pas', 'pass', 'tet', 'moment', 'crois', 'ne', 'va', 'pas', 'tre', 'bien', 'malheur']",sadness,anger
Ils sont arrivés plein d'énergie et de bonne humer,"['il', 'arriv', 'plein', 'energ', 'bon', 'hum']",joy,joy
Merci beaucoup ça me fait très plaisir,"['merc', 'beaucoup', 'ca', 'fait', 'tre', 'plais']",joy,joy
Je suis très heureux d'être ici aujourd'hui,"['tre', 'heureux', 'etre', 'ici', 'aujourd', 'hui']",joy,joy
Cela me fait chaud au coeur,"['cel', 'fait', 'chaud', 'coeur']",joy,anger
Je mourrais d'envie de lui annoncer la bonne nouvelle,"['mourr', 'envi', 'annonc', 'bon', 'nouvel']",joy,joy
Il hurlait de joie,"['hurl', 'joi']",joy,joy
Elle était vraiment très inquiète ,"['etait', 'vrai', 'tre', 'inquiet']",fear,sadness
Chaque animal de passage est voué à une mort certaine,"['chaqu', 'animal', 'passag', 'vou', 'a', 'mort', 'certain']",sadness,surprise
C'est dans ce désert que la didacture avait installé ses camps de concentration,"['desert', 'didactur', 'install', 'camp', 'concentr']",sadness,sadness
es centaines d'opposants politiques étaient emprisonnés dans leurs baraquement sommaires,"['centain', 'oppos', 'polit', 'etaient', 'emprison', 'leur', 'baraqu', 'sommair']",sadness,anger
Les visages aujourd'hui peints sur les murs de La Victoria étaient ceux des victimes de règlements de comptes entre bandes rivales,"['le', 'visag', 'aujourd', 'hui', 'peint', 'le', 'mur', 'victori', 'etaient', 'ceux', 'victim', 'regl', 'compt', 'entre', 'band', 'rival']",sadness,surprise
Elle était ébahit devant la sitation qui venait de se produire sous ses yeux,"['etait', 'ebah', 'dev', 'sitat', 'ven', 'produir', 'sous', 'yeux']",surprise,surprise
Tu les as vraiment épaté ,"['le', 'vrai', 'epat']",surprise,surprise
Elle était étonnée quand je lui ai appris la nouvelle,"['etait', 'etonne', 'quand', 'appris', 'nouvel']",surprise,no_emotion
Je suis stupéfais de la progression qu'il a eu ces dernières années,"['stupef', 'progress', 'a', 'dernier', 'anne']",surprise,surprise
Stefano pestait contre les nids de poules qui ravivaient les douleurs de son genou,"['stefano', 'pest', 'contr', 'le', 'nid', 'poul', 'raviv', 'le', 'douleur', 'genou']",anger,anger
Il appréhendait son retour au pays,"['apprehend', 'retour', 'pay']",fear,surprise
Sa cupidité est sans fin,"['cupidit', 'san', 'fin']",disgust,fear
Un chilien sur cinq vivait dans des conditions de pauvreté extrême,"['chilien', 'cinq', 'viv', 'condit', 'pauvret', 'extrem']",sadness,anger
"Personne ne voulait revoir les images de la Moneda en flammes, la répression, la torture","['person', 'ne', 'voul', 'revoir', 'le', 'imag', 'moned', 'flamm', 'repress', 'tortur']",sadness,anger
Gabriela avait le sourire pétillant et la parole facile,"['gabriel', 'sourir', 'petill', 'parol', 'facil']",joy,joy
Tu devrais avoir honte de ton comportement,"['devr', 'avoir', 'hont', 'comport']",disgust,sadness
"Va-t'en d'ici, je ne veux plus te voir","['va', 'ici', 'ne', 'veux', 'plus', 'voir']",anger,joy
Tu ne comprends jamais rien tu m'énerves ,"['ne', 'comprend', 'jam', 'rien', 'enerv']",anger,disgust
J'ai appri la terrible nouvelle ce matin…,"['appri', 'terribl', 'nouvel', 'matin']",sadness,surprise
Je suis très déçu qu'il n'est pas pu venir ,"['tre', 'decu', 'n', 'pas', 'pu', 'ven']",sadness,fear
Il ne méritait vraiment pas ça le pauvre,"['ne', 'merit', 'vrai', 'pas', 'ca', 'pauvr']",sadness,fear
"Je pense que le combat est perdu d'avance, il n'y a plus d'espoir","['pens', 'combat', 'perdu', 'avanc', 'n', 'a', 'plus', 'espoir']",sadness,joy
"Il était abattu, il n'avait plus la force de se battre","['etait', 'abattu', 'n', 'plus', 'forc', 'battr']",sadness,anger
"Le pauvre, il a l'air misérable","['pauvr', 'a', 'air', 'miser']",sadness,disgust
Elle a findu en larmes,"['a', 'findu', 'larm']",sadness,disgust
J'ai été enchanté de faire votre connaissance,"['ete', 'enchant', 'fair', 'connaiss']",joy,joy
Merci à tous je suis comblé ,"['merc', 'a', 'tous', 'combl']",joy,joy
Cet endroit est paradisiaque,"['cet', 'endroit', 'paradisiaqu']",joy,no_emotion
Ma vie est belle depuis que je t'ai rencontré,"['vi', 'bel', 'depuis', 'rencontr']",joy,surprise
"Il était optimiste, persuadé qu'il allait réussir","['etait', 'optim', 'persuad', 'allait', 'reuss']",joy,surprise
L'ambiance était euphorique,"['ambianc', 'etait', 'euphor']",joy,no_emotion
Je me réjoui d'être dans ce merveilleux endroit,"['rejou', 'etre', 'merveil', 'endroit']",joy,surprise
Quel plaisir de pouvoir faire du sport sous le soleil,"['quel', 'plais', 'pouvoir', 'fair', 'sport', 'sous', 'soleil']",joy,surprise
"Il a été pris d'un fou rire, il ne pouvait plus s'arrêter de rigoler","['a', 'ete', 'pris', 'fou', 'rir', 'ne', 'pouv', 'plus', 'arret', 'rigol']",joy,surprise
Il est vraiment épanoui depuis qu'il a trouvé son nouveau travail,"['vrai', 'epanou', 'depuis', 'a', 'trouv', 'nouveau', 'travail']",joy,surprise
Tu n'imagines pas comme il a hâte de te revoi,"['n', 'imagin', 'pas', 'comm', 'a', 'hat', 'revoi']",joy,surprise
"Je ne comprends pas pourquoi une telle violence, c'est incompréhensible","['ne', 'comprend', 'pas', 'pourquoi', 'tel', 'violenc', 'incomprehensibl']",sadness,anger
C'est absolument répugnant,"['absolu', 'repugn']",disgust,disgust
"Il avait un goût amer dans la bouche, il ne comprenait pas ce qu'il se passait","['gout', 'amer', 'bouch', 'ne', 'compren', 'pas', 'pass']",disgust,disgust
ça lui a donné la nausée,"['ca', 'a', 'don', 'nause']",disgust,surprise
"Il a fait une indigestion alimantaire, il a dû manger quelque chose de mauvais","['a', 'fait', 'indigest', 'alimantair', 'a', 'mang', 'quelqu', 'chos', 'mauv']",disgust,disgust
Il a subi une véritable humiliation,"['a', 'sub', 'verit', 'humili']",disgust,disgust
C'était véritablement abject,"['etait', 'verit', 'abject']",disgust,anger
"Cette scène lui a donner envie de vomir, il n'était pas prêt","['cet', 'scen', 'a', 'don', 'envi', 'vom', 'n', 'etait', 'pas', 'pret']",disgust,surprise
